m1a2;t2
352;958
1699;2305
3068;3677
4448;5059
5795;6403
7106;7717
8423;9034
9770;10378
11154;11775
12535;13143
13886;14497
15288;15904
16677;17274
18067;18683
19403;20025
20746;21358
22110;22722
23523;24130
24937;25556
26335;26947
27743;28363
29167;29785
30629;31253
32094;32713
33548;34163
35031;35640
36537;37152
38018;38634
39480;40097
40928;41540
42418;43032
43870;44487
45306;45916
46745;47360
48201;48822
49647;50266
51091;51708
52545;53154
54024;54647
55485;56096
56935;57560
58363;58982
59795;60414
61263;61882
62678;63290
64092;64710
65508;66127
66981;67602
68435;69057
69885;70506
71350;71970
72829;73454
74329;74951
75807;76426
77263;77883
78733;79354
80253;80868
81686;82294
83093;83705
84517;85153
