m1a1;t1
889;1515
2776;3390
4600;5227
6498;7115
8380;9001
10295;10919
12234;12859
14044;14659
15761;16382
17518;18138
19315;19933
21245;21867
23183;23801
25166;25789
27044;27669
28762;29386
30414;31031
32013;32645
33613;34225
35241;35865
37016;37640
38950;39567
40949;41568
42955;43578
44996;45625
46959;47584
48681;49303
50311;50939
51929;52555
53527;54155
55155;55778
56795;57411
58506;59125
60230;60852
61947;62568
63665;64284
65437;66062
67069;67696
68614;69232
70124;70736
71626;72240
73186;73797
74881;75498
76784;77410
78682;79303
80532;81151
82340;82963
84078;84698
85677;86291
87205;87820
88761;89382
90241;90867
91689;92308
93132;93736
94582;95189
96135;96753
97959;98576
99851;1.0047e+05
1.0175e+05;1.0238e+05
1.0363e+05;1.0426e+05
