m1a1;t1
648;1253
2363;2976
3944;4548
5493;6094
7030;7635
8599;9206
10249;10850
11994;12604
13648;14256
15245;15843
16887;17488
18548;19151
20271;20877
21948;22552
23482;24094
24922;25525
26336;26938
27666;28262
29021;29610
30479;31080
31970;32574
33455;34054
34901;35490
36277;36874
37632;38226
38971;39575
40284;40887
41599;42201
42922;43517
44276;44867
45633;46225
47050;47642
48466;49064
49857;50454
51227;51821
52545;53146
53813;54414
55037;55629
56226;56821
57392;57986
58556;59150
59744;60336
60985;61577
62299;62903
63676;64274
65110;65713
66579;67180
68014;68612
69455;70063
70862;71464
72245;72854
73605;74212
74993;75595
76414;77022
77757;78360
79047;79652
80305;80890
81552;82137
82866;83465
84528;85132
86290;86893
88017;88625
89644;90255
91250;91858
92687;93300
94049;94651
95383;95983
96723;97322
98119;98723
99704;1.0031e+05
1.0147e+05;1.0208e+05
1.0325e+05;1.0386e+05
1.0501e+05;1.0562e+05
1.0679e+05;1.074e+05
1.0837e+05;0
