m1a2;t2
229;371
540;720
878;1019
1232;1373
1587;1731
1905;2045
2216;2349
2534;2672
2875;3013
3277;3420
3620;3760
3940;4086
4256;4395
4592;4734
4983;5125
5353;5495
5701;5844
6026;6174
6343;6481
6684;6832
7115;7270
7546;7693
7952;8102
8320;8463
8650;8796
8960;9109
9280;9421
9687;9831
10100;10239
10476;10631
10834;10983
11184;11333
11538;11680
11926;12079
12317;12461
12704;12851
13095;13249
13464;13608
13826;13967
14169;14312
14508;14652
14839;14986
15167;15306
15497;15634
15832;15972
16274;16436
16674;16826
