m1a2;t2
199;342
520;663
828;969
1154;1296
1595;1744
1961;2105
2291;2434
2609;2750
2936;3080
3344;3491
3780;3929
4161;4304
4550;4697
4983;5134
5416;5558
5778;5921
6128;6274
6519;6667
6967;7113
7355;7504
7707;7855
8045;8191
8435;8584
8954;9107
9403;9555
9778;9926
10118;10267
10465;10614
10862;11014
11229;11380
11568;11718
11908;12057
12285;12436
12834;12983
13310;13468
13721;13874
14092;14242
14492;14646
14913;15083
15282;15435
15643;15789
16189;16346
16677;16835
17078;17233
17461;17641
17975;18151
18479;18639
18903;19060
19313;19469
19831;19991
20318;20501
20711;20891
21108;21262
21643;21803
22124;22286
22564;22723
