m1a1;t1
250;977
1966;2687
3756;4470
5546;6344
7277;8000
9030;9752
10805;11526
12594;13341
14350;15090
16055;16779
17834;18604
19582;20372
21342;22118
23055;23757
24781;25489
26520;27262
28303;29047
30089;30800
31810;32556
33591;34290
35369;36111
37163;37964
38900;39612
40606;41354
42381;43138
44156;44880
45954;46681
47729;48447
49460;50162
51244;51982
53020;53724
54808;55506
56535;57265
58306;59070
60075;60796
61861;62587
63604;64323
65353;66081
67134;67865
68927;69660
70691;71466
72396;73128
74137;74866
75897;76667
77685;78400
79415;80125
81150;81910
82883;83633
84633;85345
86336;87053
88085;88847
89833;90544
91601;92308
93365;94122
95060;95821
96832;97567
98595;99339
1.0036e+05;1.0112e+05
1.021e+05;1.0279e+05
1.0379e+05;1.0452e+05
1.0554e+05;1.0625e+05
1.073e+05;1.0806e+05
1.0908e+05;1.0979e+05
