m1a3;t1
377;986
1827;2440
3287;3887
4778;5396
6250;6869
7770;8380
9284;9855
10762;11358
12274;12862
13763;14350
15212;15828
16690;17273
18090;18692
19522;20110
20972;21569
22467;23059
23924;24578
25304;25875
26706;27308
28170;28753
29632;30220
31120;31713
32563;33146
33991;34594
35441;36030
36901;37486
38309;38909
39737;40377
41219;41807
42693;43295
44226;44813
45793;46406
47356;47970
48846;49452
50357;50957
51848;52431
53293;53894
54766;55357
56219;56807
57663;58263
59055;59646
60480;61083
61904;62509
63317;63931
64800;65398
66331;66930
67864;68442
69391;69989
70862;71477
72338;72954
73821;74414
75276;75920
76721;77332
78196;78781
79684;80281
81149;81740
82584;83169
84043;84635
85541;86146
87009;87623
88430;89058
89913;90500
91380;91982
92813;93412
94257;94858
95720;96319
