m1a1;t1
238;843
1930;2544
3548;4149
5195;5802
6840;7446
8511;9114
10125;10727
11729;12328
13371;13978
15034;15641
16716;17337
18340;18964
20025;20631
21720;22328
23496;24105
25311;25925
27025;27626
28834;29442
30670;31279
32468;33078
34142;34749
35826;36427
37503;38112
39158;39764
40819;41430
42438;43041
44150;44756
45924;46531
47734;48346
49441;50045
51237;51845
53050;53657
54836;55448
56525;57131
58293;58901
60071;60680
61837;62450
63540;64148
65292;65900
67043;67652
68789;69401
70447;71056
72193;72800
73986;74596
75763;76374
77441;78050
79180;79788
80973;81585
82698;83315
84332;84940
86032;86638
87741;88355
89428;90040
91062;91669
92746;93357
94452;95065
96173;96784
97793;98399
99486;1.001e+05
1.012e+05;1.018e+05
1.0292e+05;1.0353e+05
1.0457e+05;1.0517e+05
1.0622e+05;1.0683e+05
