m1a3;t3
362;979
1700;2324
3016;3621
4347;4990
5681;6303
7022;7656
8324;8943
9640;10258
10991;11632
12396;13024
13796;14454
15155;15776
16491;17105
17833;18463
19155;19785
20479;21080
21760;22417
23021;23662
24285;24898
25550;26180
26852;27471
28148;28776
29451;30086
30764;31385
32145;32771
33564;34201
34977;35629
36337;36972
37706;38335
39068;39691
40425;41054
41741;42375
43060;43698
44366;45010
45677;46307
46973;47592
48260;48899
49550;50184
50832;51455
52161;52792
53512;54130
54833;55468
56169;56800
57543;58166
58973;59575
60369;60999
61722;62332
63068;63689
64411;65055
65759;66396
67078;67722
68388;69011
69706;70338
71048;71666
72439;73056
73799;74425
75185;75805
76595;77241
78010;78655
79428;80072
80808;81457
82159;82790
83529;84150
84902;85526
86227;86836
87523;88156
88817;89433
90129;90751
91462;92074
92812;93445
94159;94799
95524;96145
96923;97549
98340;98967
99737;1.0035e+05
1.0113e+05;1.0177e+05
1.0253e+05;1.0314e+05
1.0393e+05;1.0455e+05
1.0528e+05;1.059e+05
1.0659e+05;0
