m2a2;t2
280;455
722;903
1166;1345
1617;1794
2066;2243
2511;2691
2947;3126
3377;3554
3819;3996
4276;4453
4753;4931
5226;5402
5691;5859
6143;6323
6572;6738
6999;7168
7434;7602
7894;8062
8358;8526
8827;8998
9301;9468
9774;9946
10217;10389
10671;10840
11126;11295
11569;11744
12006;12175
12454;12624
12908;13079
13350;13528
13788;13968
14212;14399
14633;14819
15052;15227
15470;15649
15909;16089
16342;16518
16778;16956
17219;17394
17655;17830
18088;18263
18519;18698
18953;19128
19378;19560
19806;19984
20243;20427
20678;20854
21123;21304
21570;21752
22016;22195
22454;22634
22886;23065
23325;23503
23752;23925
24183;24364
24618;24797
25066;25235
25513;25681
25971;26140
26433;26604
