m1a2;t2
845;1490
2436;3076
3976;4596
5561;6194
7158;7791
8677;9286
10240;10872
11843;12465
13373;14013
14908;15538
16491;17106
18087;18690
19667;20306
21263;21931
22824;23438
24422;25080
25949;26568
27489;28131
29041;29595
30604;31231
32076;32724
33585;34240
35072;35691
36580;37200
38065;38699
39608;40245
41172;41828
42783;43461
44337;44950
45835;46487
47401;48040
48950;49554
50444;51064
51869;52475
53319;53952
54782;55393
56241;56887
57651;58293
59112;59737
60661;61306
62261;62936
63739;64387
65273;65900
66830;67455
68481;69104
69999;70624
71634;72298
73265;73916
74914;75555
76445;77094
78014;78687
79599;80267
81189;81889
82711;83350
84300;84959
85897;86528
87446;88057
88960;89579
90538;91170
92134;92785
93689;94319
95221;95840
96819;97430
98443;99068
99979;1.0064e+05
1.0152e+05;1.0215e+05
1.0309e+05;1.0369e+05
