m2a2;t2
450;1087
2399;3054
4335;4983
6098;6738
7808;8459
9618;10268
11675;12338
13871;14527
16033;16688
17918;18589
19850;20503
21910;22555
24064;24719
26137;26806
28158;28828
29998;30667
31798;32461
33757;34407
36520;37177
38968;39634
41088;41742
43076;43724
44914;45568
46637;47282
48354;49008
50135;50798
52032;52685
54137;54806
56366;57015
58623;59299
60819;61476
62835;63485
64746;65397
66593;67269
68422;69099
70197;70844
71846;72483
73493;74148
75136;75772
76832;77472
78639;79299
80575;81242
82607;83265
84742;85410
86916;87580
89179;89829
91283;91945
93355;94006
95253;95915
96932;97585
98575;99229
1.0022e+05;1.0086e+05
1.0196e+05;1.0261e+05
1.0388e+05;1.0454e+05
1.0604e+05;1.0669e+05
1.0824e+05;1.089e+05
1.1048e+05;0
