m1a1;t3
290;1029
2256;2989
4254;4970
6245;6948
8114;8826
9863;10584
11522;12247
13175;13869
14891;15631
16758;17482
18762;19474
20850;21570
22936;23632
24979;25703
26944;27653
28808;29482
30556;31271
32216;32944
33846;34577
35570;36254
37479;38206
39522;40240
41633;42341
43735;44424
45800;46580
47722;48465
49494;50193
51176;51878
52881;53592
54731;55426
56741;57423
58821;59525
60912;61642
62917;63641
64786;65524
66545;67275
68335;69036
70240;70978
72222;72930
74249;74945
76245;76939
78111;78818
79880;80580
81596;82338
83399;84151
85295;85988
87290;87994
89309;90020
91277;91982
93138;93864
94931;95665
96788;97506
98754;99455
1.0075e+05;1.0146e+05
1.0272e+05;1.0343e+05
1.0464e+05;1.0538e+05
1.0661e+05;1.0732e+05
1.086e+05;1.0928e+05
1.1049e+05;1.1119e+05
1.1228e+05;1.13e+05
