m1a1;t3
1076;1768
2989;3686
4881;5562
6678;7358
8396;9094
10064;10754
11743;12430
13535;14227
15397;16092
17289;18003
19188;19913
21063;21761
22891;23580
24660;25356
26333;27048
27932;28643
29503;30175
31091;31804
32770;33454
34585;35262
36425;37103
38258;38941
40049;40739
41780;42470
43505;44197
45145;45806
46716;47428
48257;48963
49844;50561
51490;52178
53202;53883
54943;55643
56683;57374
58336;59009
59936;60648
61485;62171
63045;63745
64671;65368
66393;67094
68184;68877
69998;70678
71830;72509
73616;74326
75309;75993
76930;77632
78551;79240
80226;80927
81985;82684
83791;84475
85631;86316
87437;88112
89147;89812
90794;91482
92479;93169
94239;94934
96076;96768
97996;98687
99907;1.0059e+05
1.0184e+05;1.0257e+05
1.038e+05;1.0447e+05
1.0572e+05;1.064e+05
