m1a1;t3
155;870
2081;2785
4031;4765
5937;6607
7735;8409
9434;10110
11167;11862
13064;13756
15055;15763
17075;17844
19043;19733
20847;21527
22621;23339
24461;25150
26357;27054
28303;28999
30165;30882
31926;32605
33663;34394
35493;36226
37358;38097
39257;39956
41087;41820
42817;43524
44633;45342
46503;47186
48362;49096
50196;50908
52105;52855
54054;54795
55916;56610
57686;58371
59586;60295
61578;62324
63547;64289
65431;66143
67378;68053
69371;70051
71398;72098
73423;74152
75351;76068
77255;78007
79290;80032
81386;82098
83419;84135
85365;86082
87216;87930
89154;89873
91169;91856
93205;93915
95155;95879
96959;97638
98725;99489
1.006e+05;1.0132e+05
1.0258e+05;1.033e+05
1.0459e+05;1.0528e+05
1.0648e+05;1.0719e+05
1.0831e+05;1.0909e+05
1.1021e+05;1.109e+05
1.1215e+05;1.1284e+05
1.1407e+05;0
1.1515e+05;0
