m1a1;t1
746;1355
2668;3278
4619;5228
6571;7181
8321;8929
10073;10686
11793;12403
13569;14180
15307;15924
17009;17621
18834;19443
20651;21259
22482;23090
24308;24926
26012;26620
27796;28404
29643;30253
31525;32138
33330;33945
35003;35613
36687;37290
38370;38977
40068;40679
41798;42411
43453;44066
45117;45726
46845;47457
48645;49258
50459;51072
52136;52748
53761;54371
55369;55977
56933;57541
58549;59163
60136;60750
61656;62263
63203;63807
64760;65366
66364;66973
68002;68617
69592;70197
71196;71805
72855;73464
74567;75176
76331;76942
77937;78541
79550;80156
81206;81814
82907;83515
84667;85278
86286;86893
87978;88587
89673;90280
91353;91961
93010;93620
94638;95244
96289;96897
97936;98542
99619;1.0023e+05
1.0122e+05;1.0183e+05
1.0288e+05;1.0349e+05
1.0461e+05;1.0522e+05
1.064e+05;1.0701e+05
1.0806e+05;1.0867e+05
