m1a3;t3
85;823
2270;3003
4353;5092
6319;7055
8379;9117
10359;11092
12272;13005
14260;14998
16305;17037
18230;18966
20291;21022
22446;23174
24457;25190
26546;27284
28776;29514
30822;31567
32844;33577
34931;35662
36993;37733
38960;39696
41149;41888
43324;44067
45319;46060
47327;48064
49358;50094
51269;52012
53379;54114
55623;56367
57781;58519
60023;60763
62301;63041
64382;65122
66359;67095
68526;69265
70695;71433
72744;73485
74854;75594
77019;77762
79028;79771
81015;81761
83129;83865
85117;85855
87024;87763
89127;89865
91152;91893
92981;93728
94943;95679
96842;97572
98601;99343
1.0045e+05;1.0119e+05
1.0256e+05;1.033e+05
1.046e+05;1.0533e+05
