Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MAE,F_ref,F_dom
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,22.5,30,Lateral,1,0.1836204519741783,0.17094017094017094,0.35456062291434925
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,22.5,30,Lateral,2,0.15417177680803934,0.3418803418803419,0.18770856507230255
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,22.5,30,Lateral,3,0.05741422092923765,0.3076923076923077,0.25027808676307006
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,22.5,30,Lateral,4,0.06772482245229738,0.3076923076923077,0.3754171301446051
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,22.5,30,Lateral,5,0.10567534677657031,0.2905982905982906,0.39627363737486093
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,22.5,30,Lateral,6,0.0051553007615298685,0.3076923076923077,0.3128476084538376
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,22.5,30,Lateral,7,0.10288972552598807,0.2905982905982906,0.18770856507230255
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,22.5,30,Lateral,8,0.08203321829573224,0.2905982905982906,0.20856507230255839
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,22.5,30,Supine,1,0.05741422092923765,0.3076923076923077,0.25027808676307006
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,22.5,30,Supine,2,0.008917790897768618,0.3247863247863248,0.3337041156840934
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,22.5,30,Supine,3,0.039343334949564046,0.27350427350427353,0.3128476084538376
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,22.5,30,Supine,4,0.008917790897768618,0.3247863247863248,0.3337041156840934
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,22.5,30,Supine,5,0.060199842179819885,0.27350427350427353,0.3337041156840934
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,22.5,30,Supine,6,0.056437352043581135,0.25641025641025644,0.3128476084538376
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,22.5,30,Supine,7,0.1483652301227385,0.27350427350427353,0.12513904338153503
