Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,22.5,30,Facedown,6,0.060309579439252324,0.3215144230769231,0.3021240234375,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,22.5,30,Facedown,7,0.10052360372340424,0.2824519230769231,0.254058837890625,0.826263427734375
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,22.5,30,Facedown,8,0.11132812499999992,0.28846153846153844,0.25634765625,1.068878173828125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,22.5,30,Lateral,1,0.03376116071428581,0.16826923076923075,0.1739501953125,0.9796142578125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,22.5,30,Lateral,2,0.52392578125,0.3365384615384615,0.16021728515625,0.904083251953125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,22.5,30,Lateral,3,0.6714154411764706,0.3064903846153846,0.1007080078125,1.13525390625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,22.5,30,Lateral,4,0.1486672794117646,0.3064903846153846,0.26092529296875,1.080322265625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,22.5,30,Lateral,5,0.647203947368421,0.2854567307692307,0.1007080078125,1.0894775390625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,22.5,30,Lateral,6,0.15019531250000004,0.3004807692307692,0.345611572265625,1.238250732421875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,22.5,30,Lateral,7,0.11391900510204067,0.2944711538461538,0.26092529296875,1.35498046875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,22.5,30,Lateral,8,0.5725047831632653,0.2944711538461538,0.125885009765625,1.055145263671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,22.5,30,Supine,1,0.0739889705882352,0.3064903846153846,0.2838134765625,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,22.5,30,Supine,2,0.27290482954545453,0.33052884615384615,0.240325927734375,1.05743408203125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,22.5,30,Supine,3,0.06476814516129041,0.27944711538461536,0.29754638671875,1.599884033203125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,22.5,30,Supine,4,0.3213778409090909,0.33052884615384615,0.22430419921875,1.055145263671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,22.5,30,Supine,5,0.4075520833333333,0.2704326923076923,0.16021728515625,0.862884521484375
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,22.5,30,Supine,6,0.05228015988372082,0.2584134615384615,0.244903564453125,1.563262939453125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,22.5,30,Supine,7,0.59375,0.2704326923076923,0.10986328125,0.908660888671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,22.5,30,Supine,8,0.10062123493975894,0.24939903846153844,0.22430419921875,0.862884521484375
DeltaR=27cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,27.0,0,Lateral,2,0.6292519358407079,0.3395432692307692,0.125885009765625,1.19476318359375
DeltaR=27cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,27.0,0,Lateral,8,0.01781384698275867,0.3485576923076923,0.354766845703125,1.35955810546875
DeltaR=27cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,27.0,0,Supine,1,0.11363636363636362,0.33052884615384615,0.29296875,0.908660888671875
DeltaR=27cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,27.0,0,Supine,2,0.12169164540816313,0.2944711538461538,0.258636474609375,0.80108642578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,27.0,0,Supine,3,0.13056344696969688,0.2974759615384615,0.258636474609375,0.959014892578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,27.0,0,Supine,4,0.05412946428571429,0.2734375,0.258636474609375,0.858306884765625
DeltaR=27cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,27.0,0,Supine,5,0.1294642857142856,0.2944711538461538,0.25634765625,0.80108642578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,27.0,0,Supine,6,0.1410405585106383,0.2824519230769231,0.24261474609375,1.004791259765625
DeltaR=27cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,27.0,0,Supine,7,0.08593749999999985,0.360576923076923,0.32958984375,0.812530517578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,27.0,0,Supine,8,0.12056107954545452,0.33052884615384615,0.290679931640625,0.835418701171875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,8.0,30,Facedown,1,0.09505208333333319,0.35156249999999994,0.318145751953125,0.8056640625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,8.0,30,Facedown,2,0.12220982142857133,0.31550480769230765,0.276947021484375,1.110076904296875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,8.0,30,Facedown,3,0.11586216517857136,0.3365384615384615,0.29754638671875,0.849151611328125
DeltaR=8cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,8.0,30,Facedown,4,0.11475929054054042,0.3335336538461538,0.295257568359375,1.132965087890625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,8.0,30,Facedown,5,0.14044581422018343,0.32752403846153844,0.281524658203125,1.036834716796875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,8.0,30,Facedown,6,0.15364583333333323,0.3245192307692307,0.274658203125,0.853729248046875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,8.0,30,Facedown,7,0.11376953125,0.3125,0.276947021484375,1.3092041015625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,8.0,30,Facedown,8,0.17707170758928564,0.3365384615384615,0.276947021484375,1.169586181640625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,8.0,30,Lateral,1,0.1266500538793103,0.3485576923076923,0.304412841796875,1.045989990234375
DeltaR=8cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,8.0,30,Lateral,2,0.4321732954545454,0.33052884615384615,0.18768310546875,0.8697509765625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,8.0,30,Lateral,3,0.5903361344537815,0.35757211538461536,0.146484375,1.988983154296875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,8.0,30,Lateral,4,0.7060032894736842,0.34254807692307687,0.1007080078125,1.142120361328125
DeltaR=8cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,8.0,30,Lateral,5,0.04105050223214277,0.3365384615384615,0.322723388671875,0.839996337890625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,8.0,30,Lateral,6,0.44472838785046725,0.3215144230769231,0.17852783203125,1.0711669921875
