Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,15.5,30,Lateral,4,0.13963607594936697,0.38574218749999994,0.331878662109375,1.435089111328125
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,15.5,30,Lateral,5,0.1678965605749486,0.3658353365384615,0.304412841796875,2.204132080078125
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,15.5,30,Lateral,6,0.06151107594936701,0.3560697115384615,0.33416748046875,1.46484375
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,15.5,30,Lateral,7,0.18881899350649345,0.34705528846153844,0.281524658203125,2.215576171875
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,15.5,30,Lateral,8,0.16903409090909086,0.3387920673076923,0.281524658203125,1.06201171875
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,15.5,30,Supine,1,0.015625000000000062,0.2704326923076923,0.274658203125,0.87432861328125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,15.5,30,Supine,2,0.08943965517241373,0.29409555288461536,0.267791748046875,0.88348388671875
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,15.5,30,Supine,3,0.021566901408450564,0.26667668269230765,0.26092529296875,1.15814208984375
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,15.5,30,Supine,4,0.17943548387096792,0.2095853365384615,0.2471923828125,1.055145263671875
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,15.5,30,Supine,5,0.06474258970358823,0.24076021634615383,0.25634765625,1.17645263671875
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,15.5,30,Supine,6,0.20583038869257958,0.21259014423076922,0.25634765625,0.830841064453125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,15.5,30,Supine,7,0.019701086956521643,0.25916466346153844,0.254058837890625,1.068878173828125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,15.5,30,Supine,8,0.03316326530612257,0.23925781249999997,0.2471923828125,0.899505615234375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,20.0,0,Facedown,1,0.09331747404844289,0.32564603365384615,0.295257568359375,0.858306884765625
DeltaR=20cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,20.0,0,Facedown,2,0.13530027932960892,0.3361628605769231,0.290679931640625,0.82855224609375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,20.0,0,Facedown,3,0.07190820543093256,0.31813401442307687,0.295257568359375,1.201629638671875
DeltaR=20cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,20.0,0,Facedown,4,0.11781478102189775,0.30874399038461536,0.272369384765625,1.096343994140625
DeltaR=20cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,20.0,0,Facedown,5,0.0752675097276263,0.2895883413461538,0.267791748046875,1.153564453125
DeltaR=20cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,20.0,0,Facedown,6,0.09925289203084832,0.2922175480769231,0.263214111328125,0.995635986328125
DeltaR=20cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,20.0,0,Facedown,7,0.04785156249999992,0.28846153846153844,0.274658203125,1.12152099609375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,20.0,0,Facedown,8,0.1022940074906366,0.30085637019230765,0.27008056640625,0.835418701171875
DeltaR=20cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,20.0,0,Lateral,1,0.05579558998808101,0.3151292067307692,0.29754638671875,0.821685791015625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,20.0,0,Lateral,2,0.0166375476493011,0.2955979567307692,0.290679931640625,0.821685791015625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,20.0,0,Lateral,3,0.11241610738255052,0.2798227163461538,0.311279296875,1.409912109375
DeltaR=20cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,20.0,0,Lateral,4,0.015494428969359254,0.26968149038461536,0.2655029296875,1.84478759765625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,20.0,0,Lateral,5,0.016330369357045068,0.27456430288461536,0.27008056640625,1.4373779296875
DeltaR=20cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,20.0,0,Lateral,6,0.020099118942731347,0.2557842548076923,0.26092529296875,0.9796142578125
DeltaR=20cm_Angle=0_Band1_Lateral_Trial7.mat,Bandwidth1,20.0,0,Lateral,7,0.007161458333333397,0.2704326923076923,0.272369384765625,0.876617431640625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,20.0,0,Lateral,8,0.09121171770972027,0.2820763221153846,0.25634765625,0.94757080078125
DeltaR=20cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,20.0,0,Supine,1,0.05015093304061464,0.34217247596153844,0.32501220703125,0.899505615234375
DeltaR=20cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,20.0,0,Supine,2,0.08166617990654204,0.3215144230769231,0.295257568359375,0.862884521484375
DeltaR=20cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,20.0,0,Supine,3,0.05921052631578937,0.3211388221153846,0.3021240234375,0.839996337890625
DeltaR=20cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,20.0,0,Supine,4,0.0524257269279393,0.2971003605769231,0.281524658203125,0.860595703125
DeltaR=20cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,20.0,0,Supine,5,0.15229475484606603,0.3294020432692307,0.27923583984375,0.90179443359375
DeltaR=20cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,20.0,0,Supine,6,0.09855769230769215,0.31738281249999994,0.286102294921875,1.114654541015625
DeltaR=20cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,20.0,0,Supine,7,0.14473684210526308,0.3211388221153846,0.274658203125,1.174163818359375
DeltaR=20cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,20.0,0,Supine,8,0.08004981884057968,0.31099759615384615,0.286102294921875,0.81939697265625
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,22.5,30,Facedown,1,0.06994047619047619,0.3076171875,0.286102294921875,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,22.5,30,Facedown,2,0.10020258103241289,0.31287560096153844,0.281524658203125,1.226806640625
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,22.5,30,Facedown,3,0.27414772727272735,0.28921274038461536,0.368499755859375,1.849365234375
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,22.5,30,Facedown,4,0.11336313193588157,0.3046123798076923,0.27008056640625,1.2176513671875
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,22.5,30,Facedown,5,0.03244426751592363,0.2948467548076923,0.304412841796875,1.023101806640625
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,22.5,30,Facedown,6,0.12019230769230754,0.31738281249999994,0.27923583984375,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,22.5,30,Facedown,7,0.039093298291721375,0.2858323317307692,0.274658203125,1.306915283203125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,22.5,30,Facedown,8,0.04411764705882352,0.2873347355769231,0.274658203125,1.073455810546875
