Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,15.5,30,Lateral,4,0.4745540078201369,0.38423978365384615,0.182342529296875,0.981903076171875
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,15.5,30,Lateral,5,0.6709280303030304,0.37184495192307687,0.249481201171875,1.522064208984375
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,15.5,30,Lateral,6,0.31343937875751504,0.3748497596153846,0.11749267578125,1.46484375
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,15.5,30,Lateral,7,0.393421052631579,0.35682091346153844,0.140380859375,0.9979248046875
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,15.5,30,Lateral,8,0.5418129049676026,0.34780649038461536,0.188446044921875,1.242828369140625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,15.5,30,Supine,1,0.9228267766497463,0.29597355769230765,0.27313232421875,0.8697509765625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,15.5,30,Supine,2,0.8548602386934674,0.29897836538461536,0.255584716796875,0.88348388671875
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,15.5,30,Supine,3,0.7884457236842106,0.2854567307692307,0.225067138671875,1.155853271484375
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,15.5,30,Supine,4,0.9120639534883722,0.20996093749999997,0.191497802734375,1.226806640625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,15.5,30,Supine,5,0.8425442122186496,0.23362379807692304,0.19683837890625,1.178741455078125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,15.5,30,Supine,6,0.9815917107583775,0.21296574519230768,0.20904541015625,0.968170166015625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,15.5,30,Supine,7,0.8662683823529413,0.2554086538461538,0.22125244140625,1.068878173828125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,15.5,30,Supine,8,0.9564614164904861,0.1776592548076923,0.185394287109375,0.936126708984375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,20.0,0,Facedown,1,0.8760909346846848,0.3335336538461538,0.292205810546875,1.14898681640625
DeltaR=20cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,20.0,0,Facedown,2,0.870211129753915,0.3357872596153846,0.292205810546875,0.826263427734375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,20.0,0,Facedown,3,0.8738826412918108,0.32564603365384615,0.284576416015625,1.128387451171875
DeltaR=20cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,20.0,0,Facedown,4,0.8822601010101011,0.2974759615384615,0.262451171875,1.09405517578125
DeltaR=20cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,20.0,0,Facedown,5,0.8435509554140128,0.2948467548076923,0.24871826171875,1.000213623046875
DeltaR=20cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,20.0,0,Facedown,6,0.9095149253731344,0.27681790865384615,0.25177001953125,0.995635986328125
DeltaR=20cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,20.0,0,Facedown,7,0.9686185133239832,0.2678034855769231,0.2593994140625,0.826263427734375
DeltaR=20cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,20.0,0,Facedown,8,0.856700794621027,0.3072415865384615,0.263214111328125,0.839996337890625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,20.0,0,Lateral,1,0.9027777777777779,0.30085637019230765,0.2716064453125,1.007080078125
DeltaR=20cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,20.0,0,Lateral,2,0.7497206257982121,0.29409555288461536,0.220489501953125,1.1260986328125
DeltaR=20cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,20.0,0,Lateral,3,0.5613030095759235,0.27456430288461536,0.15411376953125,1.1077880859375
DeltaR=20cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,20.0,0,Lateral,4,0.5570938818565401,0.26705228365384615,0.148773193359375,1.318359375
DeltaR=20cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,20.0,0,Lateral,5,0.6680152529761905,0.25240384615384615,0.168609619140625,1.44195556640625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,20.0,0,Lateral,6,0.9054252199413492,0.2561598557692307,0.23193359375,0.9796142578125
DeltaR=20cm_Angle=0_Band1_Lateral_Trial7.mat,Bandwidth1,20.0,0,Lateral,7,0.9652039007092199,0.26479867788461536,0.255584716796875,0.87890625
DeltaR=20cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,20.0,0,Lateral,8,0.8383372801082545,0.2775691105769231,0.232696533203125,0.94757080078125
DeltaR=20cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,20.0,0,Supine,1,0.876984126984127,0.35494290865384615,0.311279296875,0.82855224609375
DeltaR=20cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,20.0,0,Supine,2,0.8633948545861299,0.3357872596153846,0.2899169921875,1.151275634765625
DeltaR=20cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,20.0,0,Supine,3,0.897975768321513,0.31775841346153844,0.28533935546875,0.835418701171875
DeltaR=20cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,20.0,0,Supine,4,0.9133138820638822,0.30573918269230765,0.27923583984375,0.858306884765625
DeltaR=20cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,20.0,0,Supine,5,0.847705245153934,0.3294020432692307,0.27923583984375,1.1993408203125
DeltaR=20cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,20.0,0,Supine,6,0.866883581235698,0.32827524038461536,0.284576416015625,1.116943359375
