m1a2;t2
148;809
1724;2405
3198;3868
4615;5292
6095;6759
7752;8411
9438;10115
11086;11755
12597;13267
13931;14592
15189;15869
16524;17076
17683;18323
19178;19849
20926;21605
22709;23375
24406;25074
25879;26557
27246;27897
28631;29300
30093;30767
31583;32243
33119;33778
34618;35286
35966;36632
37238;37893
38471;39134
39708;40366
41059;41719
42630;43307
44297;44969
45961;46630
47473;48145
48791;49444
50012;50667
51193;51844
52390;53040
53788;54438
55515;56190
57166;57827
58797;59461
60312;60985
61662;62324
62932;63609
64189;64835
65526;66187
67054;67722
68768;69440
70392;71086
71791;72451
73115;73784
74442;75101
75819;76473
77234;77883
78570;79224
79834;80487
81056;81704
82282;82959
83594;84252
85218;85930
86824;87483
88322;88986
89620;90269
90837;91496
92016;92664
93200;93842
94478;95125
96058;96700
97670;98357
99267;99918
1.0076e+05;1.0144e+05
1.0207e+05;1.0273e+05
1.0329e+05;1.0396e+05
1.0449e+05;1.0514e+05
1.0573e+05;1.0641e+05
1.0709e+05;1.0774e+05
1.0859e+05;0
