m1a1;t3
246;975
2304;3029
4284;5017
6096;6817
7939;8660
9870;10590
11864;12611
13744;14474
15654;16351
17608;18308
19584;20308
21474;22186
23333;24053
25275;25998
27294;28016
29264;30022
31171;31867
33134;33853
35124;35832
36973;37703
38866;39594
40775;41500
42707;43427
44542;45253
46472;47191
48468;49183
50450;51230
52321;53036
54267;54979
56244;56969
58213;58943
60065;60783
61997;62723
63975;64677
65991;66698
67906;68610
69796;70495
71778;72515
73822;74551
75839;76573
77711;78425
79661;80369
81663;82374
83699;84406
85644;86386
87548;88260
89517;90239
91519;92257
93484;94198
95370;96087
97335;98062
99328;1.0004e+05
1.0125e+05;1.0197e+05
1.0313e+05;1.0383e+05
1.051e+05;1.0583e+05
