m1a2;t2
240;891
1737;2381
3313;3968
4936;5596
6409;7066
7811;8469
9360;10018
10962;11615
12573;13242
14013;14668
15395;16068
16778;17419
18185;18823
19675;20328
21215;21882
22588;23257
23953;24611
25344;26004
26827;27488
28378;29042
29800;30460
31204;31861
32645;33308
34087;34751
35527;36189
36883;37525
38250;38899
39613;40261
40976;41650
42273;42932
43525;44187
44755;45403
46012;46668
47323;47980
48688;49328
50081;50720
51490;52125
52822;53483
54070;54714
55259;55919
56420;57068
57592;58241
58861;59505
60377;61039
61998;62669
63649;64296
65319;65983
66726;67385
68020;68697
69247;69911
70497;71108
71925;72578
73504;74168
75065;75718
76624;77284
77987;78647
79244;79909
80458;81121
81716;82370
83306;83974
85064;85734
86740;87415
88405;89067
89888;90543
91194;91858
92421;93063
93608;94264
94834;95501
96322;96991
97968;98614
99600;1.0027e+05
1.0119e+05;1.0185e+05
1.0258e+05;1.0325e+05
1.0386e+05;1.0452e+05
1.0511e+05;1.0577e+05
1.0643e+05;1.071e+05
1.0805e+05;0
