m1a3;t3
621;1310
2495;3183
4467;5170
6506;7209
8620;9320
10557;11246
12502;13199
14577;15274
16635;17335
18506;19196
20226;20923
22229;22931
24454;25157
26468;27174
28181;28879
30096;30798
32064;32757
33987;34689
35718;36412
37711;38413
39673;40376
41476;42174
43175;43877
45145;45848
47146;47846
49012;49709
50655;51353
52603;53308
54576;55279
56499;57196
58236;58934
60212;60913
62291;63000
64281;64995
66176;66887
68224;68929
70217;70932
72037;72742
74034;74739
76039;76744
77842;78544
79430;80130
81129;81827
82928;83629
84888;85590
86746;87448
88751;89462
91049;91762
93254;93963
95084;95794
97215;97931
99316;1.0003e+05
1.0121e+05;1.0192e+05
1.0309e+05;1.038e+05
1.0508e+05;1.0579e+05
1.0713e+05;1.0784e+05
1.0892e+05;1.0963e+05
