m1a2;t2
1010;1666
2450;3111
4006;4665
5670;6339
7243;7909
8648;9298
10037;10709
11511;12173
13123;13780
14826;15498
16450;17113
17867;18523
19236;19909
20723;21383
22646;23328
24655;25326
26494;27169
28077;28747
29676;30343
31287;31961
32929;33609
34507;35176
36060;36736
37781;38456
39644;40321
41516;42197
43204;43880
44864;45533
46540;47216
48193;48874
49741;50422
51187;51851
52684;53352
54319;54994
56037;56712
57745;58425
59213;59892
60575;61240
61978;62649
63457;64122
65047;65719
66521;67187
68018;68681
69567;70236
71168;71838
72750;73418
74173;74841
75572;76237
77050;77716
78664;79341
80292;80965
81763;82435
83246;83913
84755;85438
86233;86901
87606;88286
88902;89545
90197;90846
91516;92175
92953;93605
94330;94984
95766;96468
97247;97895
98778;99433
1.0027e+05;1.0092e+05
1.0183e+05;1.025e+05
1.0345e+05;1.0412e+05
1.0509e+05;1.0578e+05
1.0668e+05;1.0736e+05
1.081e+05;1.0877e+05
