m1a2;t2
479;1183
2227;2949
3984;4744
5709;6424
7397;8160
9108;9835
10809;11568
12476;13209
14166;14897
15892;16641
17633;18389
19338;20056
21020;21756
22741;23495
24466;25212
26209;26954
27883;28629
29603;30353
31331;32061
33058;33807
34751;35492
36468;37219
38198;38939
39925;40648
41583;42326
43266;44006
44950;45690
46626;47371
48314;49105
50007;50720
51714;52467
53411;54136
55110;55825
56809;57595
58515;59248
60230;61011
61918;62654
63626;64354
65340;66068
67029;67767
68736;69481
70468;71195
72203;72957
73893;74659
75619;76349
77334;78073
79023;79773
80737;81462
82434;83154
84164;84919
85859;86579
87603;88339
89326;90094
91067;0
