m1a2;t2
198;359
513;658
827;965
1155;1305
1506;1657
1868;2014
2233;2390
2589;2747
2930;3077
3264;3415
3598;3747
3938;4089
4290;4452
4658;4820
5028;5180
5394;5542
5757;5918
6096;6252
6418;6577
6729;6887
7050;7201
7399;7559
7777;7927
8150;8297
8525;8678
8893;9053
9232;9398
9554;9711
9868;10017
10188;10335
10506;10652
10844;10996
11189;11346
11541;11696
11895;12056
12247;12406
12593;12739
12933;13084
13262;13413
13586;13728
13899;14056
14208;14366
14510;14653
14810;14956
15111;15259
15417;15557
15729;15886
16051;16196
16378;16524
16699;16856
17017;17166
17352;17500
17672;17815
18007;18157
18340;18486
18685;18836
19030;19186
19375;19523
19708;19855
20100;20248
20433;20580
20756;20913
21059;21206
21378;21529
21751;21916
22138;22296
22514;22669
22874;23036
23232;23386
23582;23726
23920;24066
24271;24416
24621;24773
24970;25126
25302;25456
25626;0
