m1a2;t2
508;1191
2070;2766
3642;4293
5221;5928
6829;7507
8490;9157
10208;10858
11948;12588
13700;14343
15451;16111
17185;17840
18848;19510
20446;21117
22023;22723
23577;24249
25171;25834
26836;27520
28525;29162
30242;30910
31944;32611
33635;34292
35265;35941
36861;37529
38425;39107
40009;40701
41614;42286
43256;43901
44937;45607
46636;47364
48304;48985
49908;50550
51481;52166
53010;53659
54558;55252
56158;56813
57816;58480
59529;60189
61243;61914
62964;63618
64641;65301
66253;66898
67806;68466
69328;69996
70863;71530
72455;73154
74119;74809
75793;76493
77506;78170
79197;79873
80834;81535
82433;83119
83979;84650
85548;86195
87180;87849
88872;89551
90636;91308
92386;93044
94122;94793
95849;96531
97489;98183
99040;99717
1.0055e+05;1.0122e+05
1.0207e+05;1.0275e+05
1.0363e+05;1.0433e+05
1.0524e+05;0
