m1a2;t2
247;930
1876;2587
3510;4190
5200;5864
6925;7595
8695;9378
10490;11125
12240;12916
13956;14612
15657;16331
17346;18045
19003;19672
20624;21287
22245;22945
23875;24537
25580;26275
27373;28044
29223;29882
31096;31777
32983;33645
34811;35523
36492;37178
38084;38742
39637;40333
41178;41844
42750;43426
44387;45063
46085;46791
47776;48471
49431;50133
51042;51738
52648;53308
54346;55000
56075;56746
57844;58502
59643;60329
61398;62051
63051;63777
64679;65357
66271;66922
67906;68577
69578;70251
71325;72005
73127;73804
74883;75572
76612;77298
78381;79101
80193;80862
81955;82640
83689;84382
85297;85970
86874;87563
88467;89148
90109;90906
91816;92504
93549;94321
95313;95993
97025;97701
98694;99372
1.0035e+05;1.0103e+05
1.0204e+05;1.0273e+05
1.037e+05;1.044e+05
1.0538e+05;1.0606e+05
