m1a2;t2
265;884
1613;2239
2970;3594
4280;4901
5543;6161
6828;7428
8077;8717
9401;10040
10852;11484
12339;12967
13789;14415
15134;15756
16411;17034
17677;18305
18951;19587
20267;20890
21637;22266
23021;23646
24394;25020
25700;26325
26951;27577
28201;28828
29446;30074
30706;31334
32009;32642
33318;33935
34568;35196
35790;36409
37022;37645
38260;38891
39542;40173
40882;41510
42244;42874
43553;44178
44791;45409
46019;46640
47236;47861
48464;49091
49727;50354
51006;51628
52259;52877
53489;54109
54719;55345
55952;56577
57206;57839
58491;59122
59780;60396
61057;61678
62331;62951
63628;64254
64940;65573
66280;66908
67652;68287
69011;69644
70341;70974
71628;72258
72958;73589
74325;74957
75734;76368
77147;77777
78488;79113
79776;80403
81066;81700
82369;82999
83695;84324
85052;85682
86417;87050
87743;88370
89012;89639
90252;90881
91495;92123
92752;93381
94045;94692
95391;96017
96741;97367
98025;98654
99293;99922
1.0058e+05;1.0121e+05
1.0189e+05;1.0254e+05
1.0324e+05;1.0388e+05
1.0463e+05;1.0526e+05
1.0601e+05;1.0664e+05
1.073e+05;1.0793e+05
1.0855e+05;1.0918e+05
1.0979e+05;1.1041e+05
