m1a2;t2
294;966
1579;2260
2855;3518
4425;5100
6162;6853
7854;8527
9305;9989
10659;11336
12064;12737
13631;14304
15344;16027
17161;17844
18750;19435
20106;20784
21380;22047
22724;23414
24505;25195
26488;27186
28376;29070
30096;30788
31719;32419
33412;34120
35132;35819
36829;37514
38358;39052
39720;40398
40988;41662
42248;42920
43681;44363
45403;46097
47176;47865
48901;49587
50424;51106
51786;52458
53097;53771
54459;55139
56016;56709
57752;58442
59456;60137
60990;61668
62341;63025
63630;64315
64967;65637
66482;67166
68185;68863
69858;70541
71477;72157
72864;73541
74150;74819
75443;76104
76870;77544
78515;79200
80228;80910
81929;82612
83400;84073
84742;85422
86064;86739
87465;88144
89026;89715
90710;91380
92331;93001
93779;94468
95155;95830
96585;97248
98241;98913
1e+05;1.0069e+05
1.0172e+05;1.0241e+05
1.0325e+05;1.0393e+05
1.0463e+05;1.0531e+05
1.0597e+05;1.0666e+05
1.0733e+05;1.0799e+05
1.0885e+05;0
