m1a2;t2
352;977
1670;2298
2991;3623
4309;4941
5632;6262
6967;7597
8279;8905
9559;10185
10831;11458
12121;12751
13438;14068
14798;15430
16166;16798
17483;18113
18776;19409
20080;20711
21383;22016
22707;23337
24053;24685
25364;25990
26630;27258
27892;28523
29157;29787
30433;31062
31728;32355
33046;33676
34366;34995
35657;36286
36937;37567
38238;38869
39556;40186
40888;41518
42223;42854
43503;44132
44768;45397
46045;46676
47330;47960
48622;49250
49914;50544
51181;51808
52428;53055
53674;54301
54925;55554
56183;56813
57461;58087
58729;59353
59965;60588
61175;61800
62395;63022
63623;64249
64890;65516
66185;66813
67477;68102
68734;69357
69963;70589
71198;71826
72432;73059
73680;74304
74942;75567
76197;76823
77417;78039
78632;79254
79862;80489
81116;81738
82392;83018
83711;84340
85019;85645
86276;86900
87538;88166
88793;89418
90055;90682
91323;91950
92587;93212
93828;94453
95081;95708
96333;96963
97600;98226
98887;99512
1.0018e+05;1.0081e+05
1.0142e+05;1.0205e+05
1.0266e+05;1.0328e+05
1.0392e+05;1.0455e+05
1.0519e+05;1.0582e+05
1.0648e+05;1.071e+05
1.0778e+05;1.0841e+05
1.0906e+05;0
